inhibitor-resistant.*LACTAM\tBETA-LACTAM	SAM	Ampicillin/sulbactam (SAM)
inhibitor-resistant.*LACTAM\tCEPHALOSPORIN	SAM	Ampicillin/sulbactam (SAM)
CARBAPENEM	SAM	Ampicillin/sulbactam (SAM)

BETA-LACTAM\tBETA-LACTAM	TZP	Piperacillin/tazobactam (TZP)
CEPHALOSPORIN	TZP	Piperacillin/tazobactam (TZP)
CARBAPENEM	TZP	Piperacillin/tazobactam (TZP)

CEPHALOSPORIN	FEP	Cefepime (FEP)
CARBAPENEM	FEP	Cefepime (FEP)

CARBAPENEM	IPM	Imipenem (IPM)

AMIKACIN	AN	Amikacin (AN)

GENTAMICIN	G	Gentamicin (G)

QUINOLONE	CIP	Ciprofloxacin (CIP)

TRIMETHOPRIM,SULFONAMIDE	SXT	Trimethoprim-sulfamethoxazole (SXT)

TETRACYCLINE	MI	Minocycline (MI)

COLISTIN	PB	Polymyxin B (PB)

QUINOLONE	LVX	Levofloxacin (LVX)

# The following will generate a lot of false predictions of resistance
# because details about when these usually chromosomal genes cause resistance
# are not known.
EFFLUX  SXT     Trimethoprim-sulfamethoxazole (SXT)
EFFLUX  AN      Amikacin (AN)

